gene,uniprot,organ
LRRC73,Q5JTD7,testis
NBPF6,Q5VWK0,testis
TBC1D3F,A6NER0,testis
C6orf118,Q5T5N4,testis
OR52E4,Q8NGH9,testis
C19orf45,Q8NA69,testis
RFPL4B,Q6ZWI9,testis
C20orf173,Q96LM9,testis
RGS22,Q8NE09,testis
GTF2A1L,Q9UNN4,testis
C5orf47,Q569G3,testis
XAGE1B,Q9HD64,testis
DAZ3,Q9NR90,testis
TP53TG3,Q9ULZ0,testis
NT5DC4,Q86YG4,testis
SPPL2C,Q8IUH8,testis
MEIOB,Q8N635,testis
DCST1,Q5T197,testis
KRTAP19-8,Q3LI54,testis
CXorf58,Q96LI9,testis
RGPD3,A6NKT7,testis
PPEF1,O14829,testis
C1orf141,Q5JVX7,testis
NLRP4,Q96MN2,testis
C6orf99,Q4VX62,testis
SPATA31A6,Q5VVP1,testis
FIGLA,Q6QHK4,testis
GAGE4,Q13068,testis
NMS,Q5H8A3,testis
TMEM217,Q8N7C4,testis
GJA10,Q969M2,testis
FGF4,P08620,testis
ZNF729,A6NN14,testis
XAGE1A,Q9HD64,testis
C1orf146,Q5VVC0,testis
SPATA1,Q5VX52,testis
DAZ4,Q86SG3,testis
WFDC10A,Q9H1F0,testis
ZAR1L,A6NP61,testis
GAGE2D,Q9UEU5,testis
LRRIQ1,Q96JM4,testis
POTEA,Q6S8J7,testis
DEFB135,Q30KP9,testis
EBLN1,P0CF75,testis
DYNLRB2,Q8TF09,testis
POTEB2,H3BUK9,testis
RAD51AP2,Q09MP3,testis
Ptpn20,Q4JDL3,testis
HRASLS5,Q96KN8,testis
LOXHD1,Q8IVV2,testis
OR4D6,Q8NGJ1,testis
EFCAB6,Q5THR3,testis
CXorf51A,A0A1B0GTR3,testis
M1AP,Q8TC57,testis
GOLGA6L7P,no ID,testis
SLC22A14,Q9Y267,testis
LRRD1,A4D1F6,testis
DCAF8L2,P0C7V8,testis
SPATA46,Q5T0L3,testis
MROH5,Q6ZUA9,testis
C7orf33,Q8WU49,testis
FAM9B,Q8IZU0,testis
ATP8B3,O60423,testis
HIPK4,Q8NE63,testis
OR1G1,P47890,testis
TEX29,Q8N6K0,testis
SSX4B,O60224,testis
XAGE1C,Q9HD64,testis
TDRD6,O60522,testis
DEFB105B,Q8NG35,testis
GPX6,P59796,testis
CCDC73,Q6ZRK6,testis
KRTAP21-2,Q3LI59,testis
FSIP2,Q5CZC0,testis
CCDC33,Q8N5R6,testis
WDR78,Q5VTH9,testis
NR6A1,Q15406,testis
OR56A1,Q8NGH5,testis
FBXO43,Q4G163,testis
CCDC197 ,Q8NCU1,testis
CNTD1,Q8N815,testis
HRASLS,Q9HDD0,testis
NUPR2,A6NF83,testis
TMEM89,A2RUT3,testis
ETV2,O00321,testis
MAGEA12,P43365,testis
SMKR1,H3BMG3,testis
RHOXF1,Q8NHV9,testis
TSNAXIP1,Q2TAA8,testis
ODF3L2,Q3SX64,testis
WDR88,Q6ZMY6,testis
FAM71E1,Q6IPT2,testis
OR2J2,O76002,testis
HSFY2,Q96LI6,testis
SPATA45,Q537H7,testis
STKLD1,Q8NE28,testis
CFAP206,Q8IYR0,testis
IQUB,Q8NA54,testis
OR9Q2,Q8NGE9,testis
LRRC9,Q6ZRR7,testis
Nphp1,O15259,testis
TEDDM1,Q5T9Z0,testis
PIH1D2,Q8WWB5,testis
GAGE2B,Q13066,testis
NKAPL,Q5M9Q1,testis
GABRR3,A8MPY1,testis
PRAMEF20,Q5VT98,testis
TRIM49C,P0CI26,testis
H2AFB3,P0C5Z0,testis
TEX46,H3BTG2,testis
SPDYE3,A6NKU9,testis
DEFB107A,Q8IZN7,testis
OR14A16,Q8NHC5,testis
OR52L1,Q8NGH7,testis
TRIM49B,A6NDI0,testis
ZNF474,Q6S9Z5,testis
XAGE1E,Q9HD64,testis
C6orf229,H3BNL8,testis
SLC35G6,P0C7Q6,testis
ZC3H11B,A0A1B0GTU1,testis
DEFB108B,Q8NET1,testis
SLC35G3,Q8N808,testis
ODF3L1,Q8IXM7,testis
CSNK1A1L,Q8N752,testis
GPHB5,Q86YW7,testis
ZNF716,A6NP11,testis
LIPI,Q6XZB0,testis
TRPC5OS,A6NMA1,testis
PXT1,Q8NFP0,testis
FSHR,P23945,testis
SPATA31C1,P0DKV0,testis
ZNF705B,P0CI00,testis
PATE3,B3GLJ2,testis
WFDC10B,Q8IUB3,testis
CXorf65,A6NEN9,testis
ANKRD30BL,A7E2S9,testis
ZSCAN5C,A6NGD5,testis
TEX13D,A0A0J9YY54,testis
LCN6,P62502,testis
SPANXB2,Q9NS25,testis
C1orf105,O95561,testis
TEX13C,A0A0J9YWL9,testis
ATP1A4,Q13733,testis
DEFB105A,Q8NG35,testis
FAM209A,Q5JX71,testis
C9orf84,Q5VXU9,testis
CRYGB,P07316,testis
CT55,Q8WUE5,testis
OVOS2,Q6IE36,testis
CDC20,Q12834,testis
APH1B,Q8WW43,testis
ZAR1,Q86SH2,testis
DEFB132,Q7Z7B7,testis
SOHLH2,Q9NX45,testis
MLF1,P58340,testis
ZMYND12,Q9H0C1,testis
LRRC71,Q8N4P6,testis
ZNF165,P49910,testis
SSX4,O60224,testis
ZNF473,Q8WTR7,testis
THEGL,P0DJG4,testis
LDHAL6A,Q6ZMR3,testis
TDRD9,Q8NDG6,testis
C7orf71,A4D174,testis
PRR19,A6NJB7,testis
WDR93,Q6P2C0,testis
MAGEA9,P43362,testis
GAGE2C,Q13066,testis
MAGEA2,P43356,testis
PATE2,Q6UY27,testis
SPATA31A5,Q5VU36,testis
TRIML2,Q8N7C3,testis
DIAPH3,Q9NSV4,testis
14-Sep,Q6ZU15,testis
Tcte1,Q5JU00,testis
MSH4,O15457,testis
TMEM191B,P0C7N4,testis
ANKRD61,A6NGH8,testis
ALS2CR12,Q96Q35,testis
12-Sep,Q8IYM1,testis
SGO2 ,Q562F6,testis
SYCP2,Q9BX26,testis
SLC35G4,P0C7Q5,testis
ZNF705D,P0CH99,testis
WFDC13,Q8IUB5,testis
C16orf92,Q96LL3,testis
CCDC188,H7C350,testis
TESMIN,Q9Y4I5,testis
TPO,P07202,thyroid
TG,P01266,thyroid
SLC26A4,O43511,thyroid
TSHR,P16473,thyroid
IYD,Q6PHW0,thyroid
PTH,P01270,thyroid
FOXE1,O00358,thyroid
SLC26A7,Q8TE54,thyroid
PAX8,Q06710,thyroid
NKX2-1,P43699,thyroid
ZNF804B,A4D1E1,thyroid
RAG2,P55895,thyroid
INPP5J,Q15735,thyroid
SYCP2L,Q5T4T6,thyroid
BMP8A,Q7Z5Y6,thyroid
ZBED2,Q9BTP6,thyroid
ID4,P47928,thyroid
CYBB,P04839,wbc
TLR8,Q9NR97,wbc
FCN1,O00602,wbc
TRAF3IP3,Q9Y228,wbc
MNDA,P41218,wbc
GZMH,P20718,wbc
P2RY8,Q86VZ1,wbc
CD96,P40200,wbc
ITGB2,P05107,wbc
CD247,P20963,wbc
DENND1C,Q8IV53,wbc
GFI1B,Q5VTD9,wbc
DOK2,O60496,wbc
CTSW,P56202,wbc
THEMIS,Q8N1K5,wbc
IL2RB,P14784,wbc
BTK,Q06187,wbc
FGR,P09769,wbc
CXCR2,P25025,wbc
BIN2,Q9UBW5,wbc
P2RY13,Q9BPV8,wbc
CD27,P26842,wbc
CD226,Q15762,wbc
GZMB,P10144,wbc
GZMK,P49863,wbc
PRF1,P14222,wbc
CD40LG,P29965,wbc
GZMM,P51124,wbc
MPEG1,Q2M385,wbc
CD28,P10747,wbc
CD3E,P07766,wbc
AOAH,P28039,wbc
CD300LF,Q8TDQ1,wbc
Cd7,P09564,wbc
ITGAM,P11215,wbc
CX3CR1,P49238,wbc
FCAR,P24071,wbc
HCK,P08631,wbc
CD300E,Q496F6,wbc
KLRD1,Q13241,wbc
LILRA2,Q8N149,wbc
FCER1A,P12319,wbc
LILRA1,O75019,wbc
CD300LB,A8K4G0,wbc
TREML4,Q6UXN2,wbc
NFAM1,Q8NET5,wbc
TSPAN32,Q96QS1,wbc
MEFV,O15553,wbc
RGS18,Q9NS28,wbc
KLRF1,Q9NZS2,wbc
SLAMF6,Q96DU3,wbc
GAPT,Q8N292,wbc
OSCAR,Q8IYS5,wbc
FOLR3,P41439,wbc
1-Sep,Q8WYJ6,wbc
RASGRP4,Q8TDF6,wbc
TAGAP,Q8N103,wbc
SH2D1B,O14796,wbc
DYTN,A2CJ06,wbc
CD160,O95971,wbc
PIK3CG,P48736,wbc
LILRA6,Q6PI73,wbc
LILRB2,Q8N423,wbc
UBASH3A,P57075,wbc
CD86,P42081,wbc
Gzma,P12544,wbc
LILRB3,O75022,wbc
S100A9,P06702,wbc
